Link,Summary
https://www.upes.ac.in/faculty/school-of-advanced-engineering/sustainability/dr-sm-tauseef,"Dr. S. M. Tauseef is a distinguished professor at the School of Advanced Engineering, UPES, specializing in Chemical Engineering with over 15 years of experience in teaching and research. His expertise includes process safety, environmental engineering, waste management, and Computational Fluid Dynamics (CFD). Dr. Tauseef has held various roles at UPES, including Associate Dean and Head of Department, and worked in industry as a process safety consultant. He has numerous publications, awards, and grants, reflecting his contributions to chemical engineering education and research, emphasizing practical applications and critical thinking in his teaching approach."
https://www.upes.ac.in/admissions/important-dates,"The UPES 2024 admissions webpage outlines important dates for various programs. All admissions, including B.Tech, BBA, LL.B., B.Des., and others, close on August 31, 2024. Eligibility criteria require a minimum of 50% marks in both Class X and XII for most undergraduate programs. Specific subjects may be required for certain courses, such as Physics, Chemistry, and Biology for B.Pharm. PhD admissions have a separate application deadline yet to be announced. Students can apply online and check eligibility details for each program."
https://www.upes.ac.in/faculty/school-of-computer-science/dr.-manobendra-nath-mondal,"Dr. Manobendra Nath Mondal is an Assistant Professor at the University of Petroleum and Energy Studies, Dehradun, specializing in Computer Science. Dr. Manobendra Nath Mondal holds a Ph.D. from the Indian Statistical Institute, Kolkata, with research interests in digital testing, memristive technologies, and neuromorphic computing. Dr. Manobendra Nath Mondal previously worked as a Research Associate at the Indian Statistical Institute. Dr. Manobendra Nath Mondal promotes critical thinking and a collaborative learning environment in teaching. Dr. Manobendra Nath Mondal has multiple publications and valuable experience in digital testing and neuromorphic hardware design."
https://www.upes.ac.in/student-projects/vikash-kumar-arihant-vardhan-arpita-kumari-tanushpreet-kaur,"Vikash Kumar, Arihant Vardhan, Arpita Kumari, and Tanushpreet Kaur, students of B.Tech. in Computer Science from UPES, developed a project titled ""Implementation of Phone Book Directory Using TRIE Data Structure."" The project features a web application that centralizes contact management, allowing users to easily save, search, and view contact information. Utilizing the TRIE Data Structure enhances data retrieval speed and efficiency. The application simplifies traditional contact storage methods, enabling quick access to contacts and maintaining an organized digital directory. Users can download the application from GitHub for practical use."
https://www.upes.ac.in/student-projects/om-shri-and-lakshita-sharma-and-rashi-aggarwal,"Om Shri, Lakshita Sharma, and Rashi Aggarwal are B.Sc. students in Food Nutrition and Dietetics at UPES. They developed a Probiotic Ready-to-Serve drink from Himalayan fruits and whey water aimed at toddlers. The project's focus was on creating beverages rich in probiotics, which enhance immune function, aid digestion, and reduce bloating while minimizing sugar intake from sweetened drinks. The students emphasized the health benefits of probiotics in their formulation process. Their mentor for this project is Dr. Shuchi Upadhyay Tiwari, an Associate Professor."
https://www.upes.ac.in/contact,"UPES University provides various contact options for prospective students, alumni, and parents. Enrollment queries can be addressed via toll-free number 18001028737 or email enrollments@upes.ac.in, available from 10:00 AM to 7:00 PM. The university operates multiple campuses in Dehradun and Delhi, with addresses and respective contact details provided for each location. Additional support includes a range of regional counselors available for personal consultations. UPES University offers programs across different schools, including engineering, business, law, health sciences, and design. Interested individuals can fill an inquiry form for further assistance."
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/ravi-kiran-maddali,"Ravi Kiran Maddali is an Assistant Professor in the School of Advanced Engineering at UPES, specializing in Applied Mathematics with over 20 years of experience in teaching mathematics courses for both undergraduate and postgraduate students. His research focuses on dynamic systems and mathematical modeling in real-world contexts. Previously, Ravi Kiran Maddali lectured at Govt. College, Rajahmundry, and JNTU Hyderabad, contributing to bioinformatics programs and teaching industry professionals. Ravi Kiran Maddali's teaching philosophy emphasizes collaboration, problem-solving, and real-world application of mathematics, utilizing software like MATLAB for instructional purposes. Ravi Kiran Maddali actively engages in scholarly activities and professional organizations."
https://www.upes.ac.in/alumni-achievements/ruchi-bajpai,"Ruchi Bajpai, a graduate of University of Petroleum and Energy Studies (UPES) in 2023 with a B.Tech in Computer Science and a specialization in Cyber Security and Forensic, has achieved significant recognition by being selected as Sub-Lieutenant in the Indian Navy's executive branch. Ruchi Bajpai was recommended by 33 SSB Bhopal for SSCW IT entry on the first attempt and successfully passed all required physical, intelligence, and medical tests. Ruchi Bajpai joined the Indian Naval Academy Ezhimala on August 20, 2023."
https://www.upes.ac.in/school-of-business/bcom-hons/banking-and-insurance,"The Bachelor of Commerce (Hons) in Banking and Insurance program at UPES provides a thorough education in banking, insurance operations, financial services, risk management, and regulatory frameworks. The curriculum includes subjects such as finance, economics, credit analysis, and insurance principles. UPES emphasizes practical skills through internships and industry collaborations. Graduates can pursue careers as financial analysts, risk managers, and insurance agents, with a strong job market including firms like HDFC and Amazon. The program adapts to industry trends, particularly in fintech and digital banking, enhancing long-term career prospects."
https://www.upes.ac.in/faculty/school-of-computer-science/vidyanand-mishra,"Vidyanand Mishra is an Assistant Professor (Senior Scale) of Computer Science at the University of Petroleum and Energy Studies (UPES). Vidyanand Mishra holds a B.Tech in Computer Science from RGPV Bhopal and an M.Tech in Information Security from NIT Allahabad, and is pursuing a PhD in Computer Science at UPES. Vidyanand Mishra has over 9 years in teaching and industry, specializing in Deep Learning, Computer Vision, and evolutionary algorithms. Vidyanand Mishra's teaching emphasizes bridging academic and industry gaps, focusing on project-based learning and global coding competitions. Vidyanand Mishra can be contacted at vidyanand.mishra@ddn.upes.ac.in."
https://www.upes.ac.in/faculty/school-of-design/milly-singh,"Milly Singh is an Associate Professor at the School of Design, UPES, with over eighteen years of teaching experience. Milly Singh specializes in visual communication, graphic design, typography, and design research methodology. Milly Singh holds a bachelor's degree in applied arts and a master's degree in visual arts from Maharaja Sayajirao University of Baroda. Milly Singh’s research interests include curriculum design and cultural studies. Milly Singh emphasizes an inclusive teaching philosophy that fosters critical thinking and creativity among students. Milly Singh has received awards for exceptional teaching abilities and encourages student participation in competitions. Contact Milly Singh at milly.singh@ddn.upes.ac.in."
https://www.upes.ac.in/faculty/school-of-computer-science/yeshwant-singh,"Yeshwant Singh is an Assistant Professor at the School of Computer Science, UPES, since February 2023. Yeshwant Singh holds a Ph.D. from the National Institute of Technology, Silchar, and an M. Tech from the National Institute of Technology Arunachal Pradesh. Yeshwant Singh specializes in Deep Learning, Music Information Retrieval, and Audio Processing, with numerous publications. Yeshwant Singh's teaching philosophy promotes hands-on experiences and self-learning. Yeshwant Singh has received prestigious fellowships during academic pursuits and is active in mentoring and academic collaborations. Courses taught include Pattern Recognition and Anomaly Detection, and Cognitive Analytics. Contact Yeshwant Singh at yeshwant.singh@ddn.upes.ac.in."
https://www.upes.ac.in/faculty/school-of-law/mehreen-manzoor,"Mehreen Manzoor is an Assistant Professor at the School of Law, UPES, pursuing doctoral studies at Himachal Pradesh National Law University, focusing on Prison Administration and Correctional Approach. Mehreen Manzoor's research interests include criminology, feminist criminology, labour and social inequality studies, penology, and constitutional law. Courses taught by Mehreen Manzoor encompass Penology, Victimology, and Labour Law. Mehreen Manzoor has published papers on neo-liberal policies, victimization, and elderly rights, and presented at multiple conferences on related topics. Contact Mehreen Manzoor at mmanzoor@ddn.upes.ac.in for inquiries."
https://www.upes.ac.in/student-project/rahul-gusain-vaishnav-balodhi-devyansh-samyal-mayank-verma-na,"Rahul Gusain, Vaishnav Balodhi, Devyansh Samyal, and Mayank Verma are students in the B.Tech. CSE program specializing in DevOps. They completed a project on Deep Learning-based Fish Breed Classification, utilizing a Kaggle-sourced dataset. The project involved training a model to accurately classify nine fish species, including Black Sea Sprat, Horse Mackerel, and Red Sea Bream, using deep learning techniques. The model showcased the capability to identify various fish breeds from images, demonstrating the effectiveness of deep learning in image recognition tasks. The project is available for download on GitHub."
